Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Zebra,MC330K,MC33C,3632MB,Phone,Qualcomm APQ8056,480x800,240,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
LGE,LG Magna LTE,mc90,922MB,Phone,Mediatek MT6732,720x1280,320,armeabi-v7a;armeabi,21,3
LGE,LG Prime Plus 4G,mc90ds,922MB,Phone,Mediatek MT6732,720x1280,320,armeabi-v7a;armeabi,21,3
LGE,LG Tribute Dynasty,mcv150,1868MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25,3.2
LGE,LG K30,mcv3,1846-1863MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25;27,3.2
LGE,LG Q7,mcv5a,2794MB,Phone,Mediatek MT6750,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,LG Stylo 4,mcv7a,1830MB,Phone,Mediatek MT6750,1080x2160,420,armeabi-v7a;armeabi,27,3.2
Just5,Mode1 MD-02P,MD-02P,1910MB,Phone,Mediatek MT6737M,480x800,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Mode1,MD-03P,MD-03P,2896MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
AMTC,MD1001 Tablet,MD1001,941MB,Tablet,Amlogic AML8726-M6,1024x600,160,armeabi-v7a;armeabi,16,2
Haier,MD210,MD210,1024MB,Tablet,Actions ATM7021A,600x1024,160,armeabi-v7a;armeabi,19,2
Ruggear,DEWALT MD501,md501,1925MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3
TCT (Alcatel),TCL J620,md501,,Phone,Mediatek MT6589M,480x854,240,armeabi-v7a;armeabi,17,2
AMTC,MD7081,MD7081A,,Tablet,Amlogic AML8726-M6,1024x600,160,armeabi-v7a;armeabi,16,2
AG Mobile,AG_Go-Tab_Access,md789hwag,454MB,Tablet,Mediatek MT8312,1024x600,160,armeabi-v7a;armeabi,19,2
MDC Store,MDC GrandPro,MDC_Grand_Pro,869MB,Phone,Mediatek MT6737,640x1280,240,armeabi-v7a;armeabi,24,3.1
Gigaset,ME,ME,2838MB,Phone,Qualcomm MSM8994,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22,3.1
iVOOMi,Me 1,Me_1,877MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,24,2
iVOOMi,Me 1+,Me_1_plus,1889MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,24,2
iVOOMi,Me 2,Me_2,1949MB,Phone,Mediatek MT6737,854x480,240,armeabi-v7a;armeabi,24,3.1
iVOOMi,Me 3,Me_3,1943MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
iVOOMi,Me 3S,Me_3S,2959MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
iVOOMi,Me 4,Me_4,933MB,Phone,Mediatek MT6737M,480x854,240,armeabi-v7a;armeabi,24,3.1
iVOOMi,Me 5,Me_5,1889MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,24,2
LGE,LG K3,me0,910MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,23,3
LGE,LG K4 LTE,me1,931MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,22,3
Asus,MeMO Pad HD 7 (ME173X),ME173X,994MB,Tablet,Mediatek MT8125,800x1280,213,armeabi-v7a;armeabi,17,2
LGE,LG K4 LTE,me1ds,931MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3
Asus,MeMO Pad Smart 10,ME301T,975MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,16;17,2
Asus,MeMo Pad 10 (ME302C),ME302C,1978-1979MB,Tablet,Intel Z2560,1920x1200,240,x86;armeabi-v7a;armeabi,17;18,2
Asus,MeMO Pad FHD 10 (ME302KL),ME302KL,1914MB,Tablet,Qualcomm APQ8064,1920x1200,240,armeabi-v7a;armeabi,17,2
Asus,Fonepad ME371MG,ME371MG,967MB,Tablet,Intel Z2420,800x1280,213,x86;armeabi-v7a;armeabi,16,2
intelkom,meanIT_C1,meanIT_C1,960MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2
MeanIT,meanIT_C10C11,meanIT_C10C11,956MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,24,2
